source,target
Ku Klux Klan,National Socialist Liberation Front
Macheteros,Puerto Rican Armed Resistance
Armed Commandos of Liberation,Organization of Volunteers for the Puerto Rican Revolution
Armed Commandos of Student Self Defense,Organization of Volunteers for the Puerto Rican Revolution
Black Liberation Army,Republic of New Afrika
Sovereign Citizen,Sons of Liberty
Armed Commandos of Liberation,Macheteros
Armed Commandos of Student Self Defense,Macheteros
Black Liberation Army,"Weather Underground, Weathermen"
National Front for the Liberation of Cuba,Coordination of the United Revolutionary Organization
Sovereign Citizen,Aryan Nation
Earth First!,Environmental Life Force
Fuerzas Armadas de Liberacion Nacional,Independent Armed Revolutionary Commandos
Coordination of the United Revolutionary Organization,Luis Boitel Commandos
Armenian Secret Army for the Liberation of Armenia,Ninth of June Organization
Aryan Nation,Phineas Priesthood
"Weather Underground, Weathermen",Red Guerilla Family
Jewish Defense League,Save Our Israel Land
Minutemen American Defense,Secret Army Organization
Posse Comitatus,Sovereign Citizen
Students for a Democratic Society,United Freedom Front
Earth Liberation Front,Environmental Life Force
"Covenant, Sword and the Arm of the Lord",Phineas Priesthood
Jewish Armed Resistance,Save Our Israel Land
"Covenant, Sword and the Arm of the Lord",The Order II
New Jewish Defense League,Save Our Israel Land
Black Panthers,Symbionese Liberation Army
The Order,The Order II
Vietnamese Organization to Exterminate Communists and Restore the Nation,Action Squad
Armed Revolutionary Independence Movement,Armed Commandos of Student Self Defense
Black Panthers,Black Afro Militant Movement
Fuerzas Armadas de Liberacion Nacional,Boricuan Armed Anti-Imperialist Commandos
United Freedom Front,Fred Hampton Unit of the People's Forces
Symbionese Liberation Army,George Jackson Brigade
Fuerzas Armadas de Liberacion Nacional,Guerrilla Column 29 September
Al-Qaida,Jamaat-al-Fuqra
Armenian Secret Army for the Liberation of Armenia,Justice Commandos for the Armenian Genocide
Al-Qaida,Liberation Army Fifth Battalion
Fuerzas Armadas de Liberacion Nacional,May 19 Communist Order
White Panther Party,National Committee to Combat Fascism
Ku Klux Klan,Posse Comitatus
"Weather Underground, Weathermen",Quartermoon Society
Symbionese Liberation Army,Red Guerilla Family
Fuerzas Armadas de Liberacion Nacional,Republic of New Afrika
Earth Liberation Front,Revenge of the Trees
Animal Liberation Front,Revolutionary Cells-Animal Liberation Brigade
Animal Liberation Front,The Justice Department
Ku Klux Klan,The Order
Black Panthers,Tribal Thumb
Black Panthers,United Freedom Front
Black Panthers,White Panther Party
Black Panthers,Zebra Killers
"Weather Underground, Weathermen",American Indian Movement
Irish Republican Army,Armenian Secret Army for the Liberation of Armenia
Fuerzas Armadas de Liberacion Nacional,Black Liberation Army
"Weather Underground, Weathermen",Fuerzas Armadas de Liberacion Nacional
Black Panthers,George Jackson Brigade
Boricuan Armed Anti-Imperialist Commandos,Guerrilla Column 29 September
"Weather Underground, Weathermen",Macheteros
Students for a Democratic Society,National Committee to Combat Fascism
Americans for Justice,New World Liberation Front
Minutemen American Defense,Posse Comitatus
"Weather Underground, Weathermen",Republic of New Afrika
Symbionese Liberation Army,Tribal Thumb
Black Liberation Army,United Freedom Front
Students for a Democratic Society,White Panther Party
Black Liberation Army,Zebra Killers
Symbionese Liberation Army,American Indian Movement
Armed Forces of Popular Resistance,Armed Commandos of Liberation
Armed Forces of Popular Resistance,Armed Commandos of Student Self Defense
Macheteros,Armed Forces of Popular Resistance
Irish Republican Army,Black September
New World Liberation Front,George Jackson Brigade
Revolutionary Cells-Animal Liberation Brigade,Irish Republican Army
Republic of New Afrika,National Committee to Combat Fascism
"Weather Underground, Weathermen",New World Liberation Front
Armed Forces of Popular Resistance,Revolutionary Commandos of the People
Irish Republican Army,American Indian Movement
Revolutionary Commandos of the People,Armed Commandos of Liberation
Revolutionary Commandos of the People,Armed Commandos of Student Self Defense
"Weather Underground, Weathermen",Black Panthers
Armed Revolutionary Independence Movement,Macheteros
Cuban Action,Omega-7
"Covenant, Sword and the Arm of the Lord",Posse Comitatus
Fuerzas Armadas de Liberacion Nacional,Revolutionary Commandos of the People
New World Liberation Front,American Indian Movement
Guerrilla Forces for Liberation,Armed Forces of Popular Resistance
Animal Liberation Front,Irish Republican Army
Jewish Defense League,United Jewish Underground
Pedro Albizu Campos Revolutionary Forces,Armed Forces of Popular Resistance
National Socialist Liberation Front,Ku Klux Klan
Puerto Rican Armed Resistance,Macheteros
Organization of Volunteers for the Puerto Rican Revolution,Armed Commandos of Liberation
Organization of Volunteers for the Puerto Rican Revolution,Armed Commandos of Student Self Defense
Sons of Liberty,Sovereign Citizen
Macheteros,Armed Commandos of Student Self Defense
Aryan Nation,Sovereign Citizen
